analyte,concentration_top3,n_components_for_90pct,dominant_components,dominant_weights,entropy,signature_uniqueness,nearest_neighbours,nn_similarity,assignment_confidence
trypsin inhibitor,0.5754881231069129,12,"[2, 7, 9]","[0.3653, 0.1257, 0.0844]",0.7456044544828625,0.05842510385000654,"['superoxide dismutases', 'ubiquitin', 'trypsin']","[0.9416, 0.9347, 0.9281]",low
trypsinogen,0.5635006005267216,11,"[2, 7, 22]","[0.3702, 0.1146, 0.0787]",0.7275429328280135,0.008989122996459042,"['trypsin', 'major proteinase', 'elastase']","[0.991, 0.9844, 0.9761]",low
tryptophan,0.6494056463893613,8,"[22, 6, 0]","[0.3042, 0.2163, 0.1289]",0.8026878899206715,0.2851950587118416,"['glutamate', 'aspartate', 'acetoacetate']","[0.7148, 0.6897, 0.6619]",moderate
tubulin,0.6710875474202109,9,"[19, 12, 11]","[0.5342, 0.0785, 0.0584]",0.6940435495278114,0.03482787556842648,"['creatinine', 'phosphatidylinositol', 'mannose']","[0.9652, 0.696, 0.6177]",low
tyrosine,0.7813730048514697,6,"[5, 11, 15]","[0.4954, 0.1738, 0.1122]",0.6308266384279226,0.49487899402236823,"['(+)-raffinose pentahydrate', 'insulin', 'acetoacetate']","[0.5051, 0.4321, 0.3679]",high
ubiquitin,0.6396409144346825,8,"[2, 7, 1]","[0.4189, 0.1152, 0.1056]",0.6981452181755039,0.023448400661054025,"['superoxide dismutases', 'elastin', 'thaumatin']","[0.9766, 0.9535, 0.9525]",low
uracil,0.9568798756757916,2,"[17, 12, 7]","[0.8862, 0.0417, 0.029]",0.2467794426763928,0.1589510887714224,"['cytosine', 't-rna', 'b-dna']","[0.841, 0.7368, 0.5037]",moderate
urate,0.6084990858989008,8,"[20, 22, 17]","[0.3413, 0.1458, 0.1214]",0.8469932213475155,0.23097160346828605,"['fructose', '(-)-fructose', 'ascorbate']","[0.769, 0.7494, 0.6877]",moderate
ure,0.9634916332694617,2,"[6, 21, 12]","[0.7318, 0.1969, 0.0348]",0.40234962258021456,0.05322744217036923,"['urea', 'phenylalanine', 'β-carotene']","[0.9468, 0.8844, 0.582]",low
urea,0.9999999999989999,2,"[6, 12, 7]","[0.7777, 0.1926, 0.0298]",0.5619525457591871,0.05322744217036923,"['ure', 'phenylalanine', 'β-carotene']","[0.9468, 0.889, 0.6538]",low
vaccenic acid,0.7458253535899869,7,"[1, 7, 4]","[0.5222, 0.1601, 0.0634]",0.6661010339794935,0.004176695035027378,"['oleate', 'triolein', 'α-phosphatidylethanolamine']","[0.9958, 0.9953, 0.994]",low
valine,0.6224117469688503,8,"[12, 14, 11]","[0.3365, 0.1984, 0.0874]",0.7278160491089543,0.23925752744823858,"['leucine', '(-)-ribose', 'isoleucine']","[0.7607, 0.7563, 0.7478]",moderate
xanthine,0.7640299002484148,6,"[15, 3, 9]","[0.5816, 0.1037, 0.0787]",0.6400656644622177,0.07078587270270231,"['guanine', 'cysteine', '(+)-galactose']","[0.9292, 0.5354, 0.5253]",low
xylanase,0.7752362586025647,7,"[18, 14, 11]","[0.449, 0.2377, 0.0885]",0.6120579625290041,0.0032238439081803127,"['amylopectin', 'amylose', 'glycogen']","[0.9968, 0.996, 0.9317]",low
α-chymotrypsinogen a (type ii),0.5755702639540468,8,"[2, 22, 7]","[0.3489, 0.1196, 0.1072]",0.737048084744545,0.024353030333738812,"['elastase', 'thaumatin', 'trypsin']","[0.9756, 0.9684, 0.9662]",low
α-linolenic acid,0.8065377722323187,5,"[7, 1, 4]","[0.4622, 0.2454, 0.0989]",0.6502538173785006,0.015032737751215608,"['trilinolenin', 'arachidonic acid', 'linoleic acid']","[0.985, 0.9524, 0.9438]",low
α-phosphatidylcholine,0.704707135306765,6,"[1, 7, 3]","[0.4844, 0.122, 0.0983]",0.6970744999124558,0.021417329014835618,"['tri-11-eicosenoin', 'vaccenic acid', 'α-phosphatidylethanolamine']","[0.9786, 0.9763, 0.9742]",low
α-phosphatidylethanolamine,0.7097060842812032,7,"[1, 7, 16]","[0.4713, 0.1519, 0.0865]",0.6557803112046453,0.006011484650649712,"['vaccenic acid', 'oleate', 'triolein']","[0.994, 0.9912, 0.9889]",low
