specific_condition,bsv_axis,n_events,n_datasets,n_sample_types,mean_effect,mean_abs_effect,dom_direction,direction_consistency,weight,datasets
P2_CCA_vs_NC,G04,9,2,2,0.775,0.775,up,1.0,7.873,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
LM,G01,8,2,1,0.668,0.855,up,0.88,7.636,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
Tube_QC_caution,G03,10,1,1,0.458,0.661,up,0.6,7.614,gaira_base_4_passive_target_pilot_3b_covid_raman
LM,G03,8,2,1,0.845,0.845,up,1.0,7.556,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
P2_CCA_vs_HCC,G03,5,1,1,1.376,1.376,up,1.0,7.382,gaira_base_4_cross_pilot_synthesis_v1
LM,G11,8,2,1,0.134,0.787,up,0.5,7.093,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
LM,G10,8,2,1,0.669,0.742,up,0.62,6.737,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
LM,G09,8,2,1,-0.226,0.716,up,0.5,6.526,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
COVID_vs_Suspected,G06,5,1,1,-1.187,1.187,down,1.0,6.436,gaira_base_4_passive_target_pilot_3b_covid_raman
P2_CCA_vs_HCC,G05,5,1,1,-0.363,1.179,down,0.6,6.397,gaira_base_4_cross_pilot_synthesis_v1
P2_CCA_vs_HCC,G08,5,1,1,-0.327,1.173,down,0.6,6.366,gaira_base_4_cross_pilot_synthesis_v1
COVID_vs_Healthy,G07,7,2,1,-0.803,0.803,down,1.0,6.322,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
Tube_QC_caution,G02,10,1,1,-0.363,0.521,stable,0.4,6.215,gaira_base_4_passive_target_pilot_3b_covid_raman
CCA,G02,9,2,1,0.539,0.579,up,0.78,6.109,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
COVID_vs_Healthy,G02,7,2,1,-0.042,0.756,up,0.71,5.994,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_CCA_vs_NC,G10,9,2,2,0.238,0.564,stable,0.44,5.978,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_CCA_vs_HCC,G06,5,1,1,1.082,1.082,up,1.0,5.908,gaira_base_4_cross_pilot_synthesis_v1
