id,component,family,membrane_lipid,protein_backbone,aromatic_amino_acid,purine_nucleotide,pyrimidine_nucleotide,glycan_carbohydrate,redox_metabolite,nucleic_acid_backbone,dominant_axis,dominant_weight
90,trimyristin,Lipids,0.1516756831630122,0.17507858025870657,0.02151299497038113,0.0193526766718598,0.011276666356066677,0.1581709279237124,0.010716524336822523,0.17771179713453866,nucleic_acid_backbone,0.17771179713453866
91,triolein,Lipids,0.19336307465271843,0.19712751286226804,0.058464421717088585,0.050551093412229575,0.03900008956313673,0.1197712557555663,0.03288272091237551,0.13882913197879082,protein_backbone,0.19712751286226804
92,tripalmitin,Lipids,0.14149908903008845,0.16645363974895963,0.02521757796463834,0.02508978665094133,0.015978946550987718,0.14082777576701566,0.01667584674749499,0.1640106555962141,protein_backbone,0.16645363974895963
93,tripetroselinin,Lipids,0.20100351749450276,0.20224976237027684,0.026784298263570393,0.031074767081706322,0.02016062649029956,0.1334002983769534,0.03234250848199924,0.22921834551301729,nucleic_acid_backbone,0.22921834551301729
94,tripalmitolein,Lipids,0.20002039929753965,0.20351059157984752,0.057563961591918136,0.053887097263238794,0.04257820697060191,0.12523448843114499,0.021344559970171255,0.12884676463895403,protein_backbone,0.20351059157984752
95,tristearin,Lipids,0.14192385447963343,0.16529463270149913,0.02289722120214867,0.023821802353447764,0.016733487451429933,0.1182163819206701,0.006151834406918981,0.16157381106961205,protein_backbone,0.16529463270149913
96,lactalbumin,Proteins,0.1979826098904614,0.34451922328805806,0.22428167482733213,0.2102227455656774,0.1413671878249831,0.16456764745696484,0.11238807736691314,0.14396015125563172,protein_backbone,0.34451922328805806
97,lactalbumin,Proteins,0.23126393436102752,0.39698303869771556,0.24635513719587662,0.26824132040941456,0.17190299295366576,0.17142152482033055,0.11290651832186469,0.14005127858049618,protein_backbone,0.39698303869771556
98,lactalbumin,Proteins,0.25664742516119976,0.3132053123870854,0.1513594890538254,0.1887989451088126,0.09588539801427007,0.13331376354431868,0.09049974580552834,0.07855455344725124,protein_backbone,0.3132053123870854
99,albumin,Proteins,0.1787928897203934,0.24414509546359653,0.21218208699541746,0.19915681576352265,0.09918150319185323,0.2092190974954756,0.16464910308393985,0.21947904341735625,protein_backbone,0.24414509546359653
100,albumin,Proteins,0.17334375840201088,0.3273811737254345,0.2052511578516632,0.17944449165137175,0.06595578830823086,0.1823729963831006,0.1154098201694122,0.11040112130665754,protein_backbone,0.3273811737254345
101,albumin,Proteins,0.2074878321645585,0.26249664788332916,0.1388511860818011,0.1568370988428394,0.05599343594753464,0.16637353613591388,0.10629319638517792,0.13128225354996287,protein_backbone,0.26249664788332916
102,carbonic anhydrase,Proteins,0.26302271394335397,0.38468694736071185,0.273906400263095,0.1866025611186999,0.11645196700726929,0.1562076172897173,0.032832267597910476,0.14217627902183225,protein_backbone,0.38468694736071185
103,carbonic anhydrase,Proteins,0.28094063077672815,0.39921777068421693,0.29045772292545097,0.21196525504673427,0.13235276474932112,0.1646897530939501,0.025089295950462512,0.14739045914237242,protein_backbone,0.39921777068421693
104,carbonic anhydrase,Proteins,0.304378465966073,0.36263582692643814,0.20744297802942066,0.19384312074847374,0.11002390364417114,0.1415966607805456,0.06069763127047807,0.19079038597267842,protein_backbone,0.36263582692643814
105,collagen,Proteins,0.2342968592576575,0.4170698061943977,0.13384327936485296,0.08568418459733329,0.06511459719306711,0.2546825210508857,0.09876158840893519,0.22450630373882952,protein_backbone,0.4170698061943977
106,collagen,Proteins,0.25122496926907195,0.4186812395497892,0.10774782450409646,0.08006762029172747,0.0753812863567638,0.229599705228817,0.05425953227041008,0.21817497858824303,protein_backbone,0.4186812395497892
